Date,Open,High,Low,Close,Volume
2005-01-03,40.109599967592736,41.75163648560281,40.00501329343489,41.526771545410156,4780005
2005-01-04,41.312346654904154,41.78299546021406,40.585461806588164,40.69789123535156,5002125
2005-01-05,40.58023678877411,41.51630100586796,37.91323550673598,39.61802291870117,7113990
2005-01-06,38.174713001221434,40.03115621678422,38.174713001221434,38.616600036621094,4965495
2005-01-07,39.16830299639213,39.2153657969162,38.44141193801789,38.60091018676758,4945650
2005-01-10,38.33159500023456,39.523901495521784,38.33159500023456,38.75779342651367,3511905
2005-01-11,38.75254826383534,39.73829333627447,38.0753415067922,38.58259201049805,4609335
2005-01-12,39.01141117566983,39.2676532247005,38.02043842433587,38.24530029296875,6759405
2005-01-13,38.17469861482115,39.16305897752306,37.44258326323022,37.90277099609375,3571500
2005-01-14,38.488472125425574,38.488472125425574,36.95102569147401,37.20726776123047,5266650
2005-01-17,38.070118982398796,38.070118982398796,36.34441242297133,36.89350128173828,8069820
2005-01-18,37.28570386858302,37.44258681318848,36.03064629632596,36.29473114013672,6319140
2005-01-19,37.59948852913286,37.59948852913286,35.82410019130638,36.16401290893555,7050540
2005-01-20,36.34441683245917,36.44377595185042,35.0893589964021,36.02280807495117,6391920
2005-01-24,36.44900262575241,36.603270322133156,35.251465782275524,35.62798309326172,3729135
2005-01-25,35.455410827634815,36.60065123635605,34.93246867638106,36.29473114013672,5677320
2005-01-27,32.94529370019986,37.602083181877575,32.94529370019986,37.36676025390625,8380050
2005-01-28,37.181122870165524,38.17470802127121,37.181122870165524,37.73543930053711,2871195
2005-01-31,38.122413106448356,39.99977213478995,38.122413106448356,39.34086608886719,8185590
2005-02-01,39.539589972047864,40.423361025022714,38.95912382774593,39.623260498046875,7735830
2005-02-02,39.74353613133798,41.72548510093509,39.74353613133798,41.15024948120117,9586590
2005-02-03,40.96721235576605,42.20396916140436,40.96721235576605,41.647037506103516,6686655
2005-02-04,41.835302121503744,42.044478437612156,40.684830886760494,41.367271423339844,5472165
2005-02-07,41.57383035731289,41.835299991059664,40.69005934465026,40.8521728515625,2913270
2005-02-08,40.89401055762693,41.498008155031044,40.269096823043135,40.93061828613281,4889610
2005-02-09,40.63253236645767,42.14906270878177,40.63253236645767,41.81438064575195,7132125
2005-02-10,41.312355641641126,42.82888602371094,39.487292842886546,42.517738342285156,6490980
2005-02-11,42.09676470291176,43.28384346391472,42.09676470291176,42.84718704223633,6607545
2005-02-14,42.93347719977961,45.443595820180015,42.93347719977961,44.946800231933594,15747510
2005-02-15,44.4500021800883,44.972944403107185,43.93229048644827,44.520599365234375,6903360
2005-02-16,44.55459398439551,45.86194810925796,44.450004337797225,44.91280746459961,8634375
2005-02-17,44.912804904045856,45.08014892752132,44.24082850694507,44.92849349975586,5707785
2005-02-18,44.92065100985526,45.49065602723812,44.345415463101546,44.49184036254883,3571875
2005-02-21,44.7114748273577,44.7114748273577,43.670820909776786,43.92706298828125,5942535
2005-02-22,44.23558974883204,44.240820277193606,43.62374959142584,44.0682487487793,2930460
2005-02-23,44.03165887963915,44.157164680542714,43.35183653948512,43.78064727783203,3564885
2005-02-24,44.44999217279545,45.35206678076217,43.508700572491236,45.08013916015625,6422745
2005-02-25,45.18211545800678,45.33899840596171,44.37417231563489,45.11674880981445,3146400
2005-02-28,45.23441894617423,45.23441894617423,44.09179352050293,44.87620544433594,3260820
2005-03-01,44.965101842575145,44.965101842575145,43.92706318503647,44.32972717285156,2977860
2005-03-02,44.44477370194435,44.71147384103878,44.09701831295605,44.538902282714844,2384820
2005-03-03,44.708854699381966,45.00431673924211,44.44999738434342,44.58596420288086,2310825
2005-03-04,44.55459182513132,46.22277461416854,44.55459182513132,45.18735122680664,5290185
2005-03-07,46.123423435755,46.123423435755,44.46569842803566,44.669647216796875,2339175
2005-03-08,44.76377337469983,45.17689846767848,43.82247845952653,43.89569091796875,3512265
2005-03-09,44.18852877638203,44.44477083269148,43.19755599689862,43.40934753417969,4332510
